ID,Points
1,90.7429978448
2,82.7199762207
3,88.6161864707
4,87.3462358668
5,81.8284987023
6,86.8386235518
7,87.1276502853
8,89.3087122689
9,90.0775628888
10,90.8052418228
11,90.7040323658
12,91.7717522712
13,88.9496746006
14,92.1550089245
15,90.2792783776
16,90.2401760859
17,89.6714853273
18,87.5783943933
19,91.8758000576
20,90.1843269472
21,79.8998476938
22,91.6405328664
23,86.7453942435
24,87.3926454326
25,89.310322504
26,89.1227497683
27,84.3007459663
28,86.0617325364
29,89.3969801494
30,84.8933930884
31,94.436363632
32,88.6828774263
33,88.6121718276
34,86.1779195473
35,84.3797498273
36,90.5651218517
37,84.6813775096
38,85.66787344
39,88.2960560161
40,91.6166004866
41,85.6818668519
42,87.4932489107
43,88.3635640292
44,84.8311676896
45,90.1949009507
46,88.2092207018
47,89.6012286604
48,86.2876871183
49,86.4036739404
50,85.8002012255
51,90.4465554697
52,87.6460479516
53,82.7314863593
54,91.4204719734
55,88.8861180682
56,90.8481495501
57,83.244807638
58,85.7089316502
59,85.1932379209
60,88.3753415459
61,88.2036805281
62,87.1406768435
63,87.941945654
64,87.2409062483
65,85.7589942939
66,93.9862334664
67,90.0911082649
68,91.62977524
69,79.5887597391
70,89.1143064834
71,94.2592503566
72,90.2247614745
73,90.3191109946
74,83.9788837502
75,88.7201255288
76,85.2564969185
77,89.464683109
78,88.2311814661
79,89.1315468168
80,85.7038941133
81,90.2451323423
82,88.2710294092
83,85.0645817131
84,86.7433949521
85,86.0443012695
86,87.3455518048
87,87.0571093029
88,85.6978246048
89,89.7939547131
90,90.8532912241
91,84.0105550361
92,90.3058599855
93,85.8458893567
94,83.6919685559
95,83.766568631
96,87.0963103685
97,86.9676707066
98,88.4308341418
99,87.8004969558
100,89.6141726252
101,87.3589234813
102,89.9098759556
103,88.3130872406
104,85.5962409649
105,89.8489815782
106,87.9865705059
107,87.6606745021
108,87.4192385373
109,85.9024358726
110,87.1977990619
111,87.0635908614
112,87.154833053
113,90.0898193558
114,82.2156274241
115,89.3480837828
116,91.858961575
117,84.6963040262
118,90.0801671429
119,86.365681389
120,90.5091362281
121,91.7906906516
122,81.6170152121
123,90.9058504632
124,80.6905648183
125,85.6113804581
126,89.1383126295
127,88.2033088987
128,86.4339568369
129,86.3574047384
130,89.5170600229
131,90.3389751595
132,90.6107981184
133,85.708726872
134,89.3835636197
135,90.3612232436
136,86.3835515367
137,91.06010412
138,90.0910329411
139,88.4277084659
140,93.1012662863
141,88.925710435
142,88.6452980267
143,89.1206518931
144,83.2738804405
145,85.5912212402
146,83.7793775668
147,88.0300399485
148,85.2190652313
149,88.0839942764
150,87.2577647606
151,89.320128263
152,86.6447072028
153,81.793130668
154,87.5929912939
155,89.7592301349
156,91.1831236819
157,86.7063079667
158,91.4171320459
159,88.4935657103
160,88.6884628999
161,86.9089007879
162,89.2146592314
163,84.6442070127
164,89.4140305127
165,88.7437028668
166,87.3641607333
167,93.4678123378
168,90.3051701094
169,86.4451566476
170,82.2696868804
171,85.3084208715
172,86.4194765607
173,87.3337375465
174,85.8329705589
175,90.4703900032
176,87.4124323206
177,85.4669415978
178,88.9571090228
179,92.1328695903
180,87.0720468713
181,89.2707252812
182,89.608571057
183,91.2925761645
184,88.1837353704
185,91.3578405784
186,89.1474552285
187,88.1763903378
188,84.7809806908
189,88.2747112343
190,88.7554634909
